# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr 27 07:01:44 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_logg,st_dens,sy_dist
11 Com b,11 Com,Radial Velocity,2007,323.21000000,1.178000,12.200,14.900000,0.238000,,4874.00,13.76,2.09,2.45,,93.1846000
11 UMi b,11 UMi,Radial Velocity,2009,516.21997000,1.530000,12.300,13.800000,0.080000,,4213.00,29.79,2.78,1.93,,125.3210000
14 And b,14 And,Radial Velocity,2008,186.76000000,0.775000,13.100,2.760000,0.000000,,4888.00,11.55,1.78,2.55,,75.4392000
14 Her b,14 Her,Radial Velocity,2002,1765.03890000,2.774000,12.600,7.030000,0.373000,,5338.00,0.93,0.91,4.45,1.27393,17.9323000
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.50000000,1.660000,13.500,1.260000,0.680000,,5750.00,1.13,1.08,4.36,1.01103,21.1397000
17 Sco b,17 Sco,Radial Velocity,2020,578.38000000,1.450000,12.900,3.510000,0.060000,,4157.00,25.92,1.22,1.70,,124.9530000
18 Del b,18 Del,Radial Velocity,2008,982.85000000,2.476000,12.500,8.230000,0.024000,,4980.00,8.80,2.10,2.87,,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,330.000000,18.647,2.540000,,1700,4060.00,1.31,0.85,4.00,0.38789,139.1350000
24 Boo b,24 Boo,Radial Velocity,2018,30.33000000,0.194000,13.900,0.574000,0.032000,,4816.00,12.19,1.05,2.28,,95.9863000
24 Sex b,24 Sex,Radial Velocity,2010,452.80000000,1.333000,13.400,1.440000,0.090000,,5098.00,4.90,1.54,3.50,,72.0691000
